TeacherID,ExperienceYears,EducationLevel,PayScheme,BaseSalary,BonusReceived,JobSatisfactionScore,StressLevelScore,RetentionStatus,SchoolID,Region,SchoolType,StudentSES,AvgStudentPerformance,BudgetPerStudent
1,15,Masters,Traditional,60000,0.0,9.12137689391862,4.289616828534337,Stayed,202,Urban,Private,High,75.60784526368235,13818.83328094026
1,27,Masters,Traditional,72000,0.0,9.078854981936647,6.512904424773254,Stayed,92,Suburban,Charter,High,79.68644990532889,10983.83834301301
1,4,Bachelors,Traditional,44000,0.0,8.077147822377526,7.351391631318451,Stayed,138,Suburban,Public,High,66.77938483794324,7239.797083570217
1,20,Masters,Traditional,65000,0.0,4.331919626643582,7.2440664672337745,Stayed,215,Urban,Public,Low,66.84730755359655,8846.457338863334
1,15,Masters,Traditional,60000,0.0,8.220532863934976,2.7482533274853695,Stayed,33,Rural,Private,Low,69.86502775262066,10151.609116387453
2,26,Bachelors,Performance-Based,66000,5361.061683610863,10.0,6.195730670494771,Stayed,50,Rural,Public,High,52.36959844637266,9573.105696576305
2,28,Bachelors,Traditional,68000,0.0,7.070373152425388,3.6867124597822,Stayed,28,Urban,Charter,High,73.75698018345672,11583.325387925872
2,16,Masters,Traditional,61000,0.0,7.3069153142873695,5.7215138476050695,Stayed,45,Suburban,Charter,Medium,55.214780096325725,9057.923388763355
2,8,Bachelors,Performance-Based,48000,5447.768048558262,8.409941294601497,7.508637528342639,Stayed,265,Urban,Charter,High,67.4743184860684,12402.427844327889
2,26,Masters,Traditional,71000,0.0,6.058871673433784,4.25691613560313,Left,47,Rural,Charter,Medium,65.39361229040213,7103.831317005352
3,4,Masters,Traditional,49000,0.0,7.083587368433042,6.641287277706423,Stayed,176,Rural,Private,Medium,78.27183249036024,9501.927920887243
3,8,Masters,Performance-Based,53000,1833.1865579209762,8.830965605021698,5.305245562013619,Left,156,Urban,Charter,Low,62.85648581973632,8414.25433547531
3,25,Bachelors,Traditional,65000,0.0,7.991162847583211,6.278369733545402,Stayed,64,Urban,Private,High,58.037933759193294,10803.423444197882
3,11,Masters,Traditional,56000,0.0,3.5188939390328042,4.90178396936381,Stayed,65,Suburban,Charter,Low,78.12525822394198,11380.287983422226
